Frame ID,Message Name,Property,Rx Value,Tx Value,Rx DBC,Tx DBC
0x34,er2,length,3,3,CGW1.dbc,cgw2.dbc
0x34,er2,is_extended_frame,False,False,CGW1.dbc,cgw2.dbc
0x34,er2,is_fd,False,False,CGW1.dbc,cgw2.dbc
0x34,er2,cycle_time,1000,1000,CGW1.dbc,cgw2.dbc
0x34,er2,send_type,cyclic,NotUsed,CGW1.dbc,cgw2.dbc
0x34,er2.sad,signal.start,0,0,CGW1.dbc,cgw2.dbc
0x34,er2.sad,signal.length,8,8,CGW1.dbc,cgw2.dbc
0x34,er2.sad,signal.byte_order,little_endian,little_endian,CGW1.dbc,cgw2.dbc
0x34,er2.sad,signal.is_signed,False,False,CGW1.dbc,cgw2.dbc
0x34,er2.sad,signal.scale,1.0,1.0,CGW1.dbc,cgw2.dbc
0x34,er2.sad,signal.offset,0.0,0.0,CGW1.dbc,cgw2.dbc
0x34,er2.sad,signal.minimum,0.0,0.0,CGW1.dbc,cgw2.dbc
0x34,er2.sad,signal.maximum,255.0,255.0,CGW1.dbc,cgw2.dbc
0x34,er2.sad,signal.unit,None,None,CGW1.dbc,cgw2.dbc
0x321,eeee,length,--,3,--,cgw2.dbc
0x321,eeee,is_extended_frame,--,False,--,cgw2.dbc
0x321,eeee,is_fd,--,False,--,cgw2.dbc
0x321,eeee,cycle_time,--,1000,--,cgw2.dbc
0x321,eeee,send_type,--,NotUsed,--,cgw2.dbc
0x321,eeeee,length,5,5,cgw3.dbc,CGW1.dbc
0x321,eeeee,is_extended_frame,False,False,cgw3.dbc,CGW1.dbc
0x321,eeeee,is_fd,False,False,cgw3.dbc,CGW1.dbc
0x321,eeeee,cycle_time,1000,1000,cgw3.dbc,CGW1.dbc
0x321,eeeee,send_type,NotUsed,NotUsed,cgw3.dbc,CGW1.dbc
0x445,ee44,length,5,--,cgw2.dbc,--
0x445,ee44,is_extended_frame,False,--,cgw2.dbc,--
0x445,ee44,is_fd,False,--,cgw2.dbc,--
0x445,ee44,cycle_time,1000,--,cgw2.dbc,--
0x445,ee44,send_type,NotUsed,--,cgw2.dbc,--
0x445,ee44.ew,signal.start,0,--,cgw2.dbc,--
0x445,ee44.ew,signal.length,8,--,cgw2.dbc,--
0x445,ee44.ew,signal.byte_order,little_endian,--,cgw2.dbc,--
0x445,ee44.ew,signal.is_signed,False,--,cgw2.dbc,--
0x445,ee44.ew,signal.scale,1.0,--,cgw2.dbc,--
0x445,ee44.ew,signal.offset,0.0,--,cgw2.dbc,--
0x445,ee44.ew,signal.minimum,0.0,--,cgw2.dbc,--
0x445,ee44.ew,signal.maximum,255.0,--,cgw2.dbc,--
0x445,ee44.ew,signal.unit,None,--,cgw2.dbc,--
0x8223211,ewww,length,6,--,cgw2.dbc,--
0x8223211,ewww,is_extended_frame,True,--,cgw2.dbc,--
0x8223211,ewww,is_fd,False,--,cgw2.dbc,--
0x8223211,ewww,cycle_time,1000,--,cgw2.dbc,--
0x8223211,ewww,send_type,NotUsed,--,cgw2.dbc,--
0x8223211,ewww.ewqweq,signal.start,0,--,cgw2.dbc,--
0x8223211,ewww.ewqweq,signal.length,8,--,cgw2.dbc,--
0x8223211,ewww.ewqweq,signal.byte_order,little_endian,--,cgw2.dbc,--
0x8223211,ewww.ewqweq,signal.is_signed,False,--,cgw2.dbc,--
0x8223211,ewww.ewqweq,signal.scale,1.0,--,cgw2.dbc,--
0x8223211,ewww.ewqweq,signal.offset,0.0,--,cgw2.dbc,--
0x8223211,ewww.ewqweq,signal.minimum,0.0,--,cgw2.dbc,--
0x8223211,ewww.ewqweq,signal.maximum,255.0,--,cgw2.dbc,--
0x8223211,ewww.ewqweq,signal.unit,None,--,cgw2.dbc,--
0x8321342,ee2,length,6,--,CGW1.dbc,--
0x8321342,ee2,is_extended_frame,True,--,CGW1.dbc,--
0x8321342,ee2,is_fd,False,--,CGW1.dbc,--
0x8321342,ee2,cycle_time,1000,--,CGW1.dbc,--
0x8321342,ee2,send_type,NotUsed,--,CGW1.dbc,--
0x8321342,ee2.erwrew,signal.start,0,--,CGW1.dbc,--
0x8321342,ee2.erwrew,signal.length,8,--,CGW1.dbc,--
0x8321342,ee2.erwrew,signal.byte_order,little_endian,--,CGW1.dbc,--
0x8321342,ee2.erwrew,signal.is_signed,False,--,CGW1.dbc,--
0x8321342,ee2.erwrew,signal.scale,1.0,--,CGW1.dbc,--
0x8321342,ee2.erwrew,signal.offset,0.0,--,CGW1.dbc,--
0x8321342,ee2.erwrew,signal.minimum,0.0,--,CGW1.dbc,--
0x8321342,ee2.erwrew,signal.maximum,255.0,--,CGW1.dbc,--
0x8321342,ee2.erwrew,signal.unit,None,--,CGW1.dbc,--
